DisplayName;Username;Department;BusinessRole;Roles;AccountType;LastLogin;Email;Manager
Davide Barbieri;davide.barbieri;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-31T05:35:25Z;davide.barbieri@bip.internal;Micol Marani
Davide Marino;davide.marino;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-12T14:40:25Z;davide.marino@bip.internal;Salvatore Apicella
Davide Colombo;davide.colombo;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-21T19:52:25Z;davide.colombo@bip.internal;Stefano Maffei
Davide Longo;davide.longo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-18T11:30:25Z;davide.longo@bip.internal;Gianluca Leone
Davide Mancini;davide.mancini;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2026-01-09T07:55:25Z;davide.mancini@bip.internal;Micol Marani
Davide Ferrari;davide.ferrari;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;External;2025-10-02T00:29:25Z;davide.ferrari@bip.internal;Salvatore Apicella
Davide Martinelli;davide.martinelli;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-09-15T02:15:25Z;davide.martinelli@bip.internal;Stefano Maffei
Davide Vitale;davide.vitale;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-16T00:56:25Z;davide.vitale@bip.internal;Gianluca Leone
Davide Caruso;davide.caruso;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-09-30T12:49:25Z;davide.caruso@bip.internal;Micol Marani
Davide Serra;davide.serra;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Administrative;2025-09-02T18:52:25Z;davide.serra@bip.internal;Salvatore Apicella
Davide Palumbo;davide.palumbo;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-15T14:41:25Z;davide.palumbo@bip.internal;Stefano Maffei
Davide Sanna;davide.sanna;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-21T23:13:25Z;davide.sanna@bip.internal;Gianluca Leone
Davide Neri;davide.neri;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-10T14:30:25Z;davide.neri@bip.internal;Micol Marani
Davide Ferrara;davide.ferrara;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-17T16:03:25Z;davide.ferrara@bip.internal;Salvatore Apicella
Davide De Luca;davide.de.luca;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;External;2025-11-23T16:05:25Z;davide.de.luca@bip.internal;Stefano Maffei
Davide Moretti;davide.moretti;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-09T14:16:25Z;davide.moretti@bip.internal;Gianluca Leone
Davide Parisi;davide.parisi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-10-16T13:51:25Z;davide.parisi@bip.internal;Micol Marani
Davide Giordano;davide.giordano;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-05T20:08:25Z;davide.giordano@bip.internal;Salvatore Apicella
Davide Pellegrini;davide.pellegrini;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-11-02T14:46:25Z;davide.pellegrini@bip.internal;Stefano Maffei
Andrea Rossi;andrea.rossi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-18T11:59:25Z;andrea.rossi@bip.internal;Gianluca Leone
Andrea Bianchi;andrea.bianchi;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-16T02:32:25Z;andrea.bianchi@bip.internal;Micol Marani
Andrea Esposito;andrea.esposito;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-07T23:20:25Z;andrea.esposito@bip.internal;Salvatore Apicella
Andrea Romano;andrea.romano;ERP & SAP;SAP Consultant;BIP_SAP_CORE,BIP_SAP_LEAD,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-30T00:21:25Z;andrea.romano@bip.internal;Stefano Maffei
Andrea Gallo;andrea.gallo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;External;2025-09-28T22:41:25Z;andrea.gallo@bip.internal;Gianluca Leone
Andrea Costa;andrea.costa;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2026-01-29T23:51:25Z;andrea.costa@bip.internal;Micol Marani
Andrea Fontana;andrea.fontana;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_IAM_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-11T05:46:25Z;andrea.fontana@bip.internal;Salvatore Apicella
Andrea Rinaldi;andrea.rinaldi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-11-16T04:13:25Z;andrea.rinaldi@bip.internal;Stefano Maffei
Andrea Greco;andrea.greco;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-12T09:40:25Z;andrea.greco@bip.internal;Gianluca Leone
Andrea Conti;andrea.conti;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2026-02-08T13:25:25Z;andrea.conti@bip.internal;Micol Marani
Andrea Lombardi;andrea.lombardi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-08T11:35:25Z;andrea.lombardi@bip.internal;Salvatore Apicella
Andrea Barbieri;andrea.barbieri;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-08-28T15:06:25Z;andrea.barbieri@bip.internal;Stefano Maffei
Andrea Marino;andrea.marino;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-23T10:59:25Z;andrea.marino@bip.internal;Gianluca Leone
Andrea Colombo;andrea.colombo;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;External;2025-09-28T09:09:25Z;andrea.colombo@bip.internal;Micol Marani
Andrea Longo;andrea.longo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-10T14:53:25Z;andrea.longo@bip.internal;Salvatore Apicella
Andrea Mancini;andrea.mancini;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2026-01-08T16:52:25Z;andrea.mancini@bip.internal;Stefano Maffei
Andrea Ferrari;andrea.ferrari;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-05T22:37:25Z;andrea.ferrari@bip.internal;Gianluca Leone
Andrea Martinelli;andrea.martinelli;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-11-25T08:57:25Z;andrea.martinelli@bip.internal;Micol Marani
Andrea Vitale;andrea.vitale;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-08-30T22:57:25Z;andrea.vitale@bip.internal;Salvatore Apicella
Andrea Caruso;andrea.caruso;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-12-17T14:38:25Z;andrea.caruso@bip.internal;Stefano Maffei
Andrea Serra;andrea.serra;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-08-23T19:24:25Z;andrea.serra@bip.internal;Gianluca Leone
Andrea Palumbo;andrea.palumbo;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-09T07:34:25Z;andrea.palumbo@bip.internal;Micol Marani
Andrea Sanna;andrea.sanna;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;External;2025-12-29T08:26:25Z;andrea.sanna@bip.internal;Salvatore Apicella
Andrea Neri;andrea.neri;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-02T15:34:25Z;andrea.neri@bip.internal;Stefano Maffei
Andrea Ferrara;andrea.ferrara;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-12T01:36:25Z;andrea.ferrara@bip.internal;Gianluca Leone
Andrea De Luca;andrea.de.luca;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-11-08T12:31:25Z;andrea.de.luca@bip.internal;Micol Marani
Andrea Moretti;andrea.moretti;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,BIP_CLOUD_LEAD,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-01T14:26:25Z;andrea.moretti@bip.internal;Salvatore Apicella
Andrea Parisi;andrea.parisi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Administrative;2025-09-07T06:23:25Z;andrea.parisi@bip.internal;Stefano Maffei
Andrea Giordano;andrea.giordano;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-08-29T05:27:25Z;andrea.giordano@bip.internal;Gianluca Leone
Andrea Pellegrini;andrea.pellegrini;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2026-02-11T18:52:25Z;andrea.pellegrini@bip.internal;Micol Marani
Francesco Rossi;francesco.rossi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-14T17:11:25Z;francesco.rossi@bip.internal;Salvatore Apicella
Francesco Bianchi;francesco.bianchi;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;External;2025-12-13T21:42:25Z;francesco.bianchi@bip.internal;Stefano Maffei
Francesco Esposito;francesco.esposito;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-19T09:26:25Z;francesco.esposito@bip.internal;Gianluca Leone
Francesco Romano;francesco.romano;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-30T09:10:25Z;francesco.romano@bip.internal;Micol Marani
Francesco Gallo;francesco.gallo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-11T19:24:25Z;francesco.gallo@bip.internal;Salvatore Apicella
Francesco Costa;francesco.costa;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-09-24T16:32:25Z;francesco.costa@bip.internal;Stefano Maffei
Francesco Fontana;francesco.fontana;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-07T00:21:25Z;francesco.fontana@bip.internal;Gianluca Leone
Francesco Rinaldi;francesco.rinaldi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2026-02-18T05:49:25Z;francesco.rinaldi@bip.internal;Micol Marani
Francesco Greco;francesco.greco;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-04T01:02:25Z;francesco.greco@bip.internal;Salvatore Apicella
Francesco Conti;francesco.conti;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-08-31T16:25:25Z;francesco.conti@bip.internal;Stefano Maffei
Francesco Lombardi;francesco.lombardi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;External;2025-10-31T20:06:25Z;francesco.lombardi@bip.internal;Gianluca Leone
Francesco Barbieri;francesco.barbieri;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-26T03:28:25Z;francesco.barbieri@bip.internal;Micol Marani
